         294610 function calls (285110 primitive calls) in 32.581 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      210   28.435    0.135   28.798    0.137 DT.py:243(_best_splits)
      212    3.251    0.015    3.251    0.015 {built-in method builtins.sum}
      420    0.346    0.001    0.346    0.001 {method 'argsort' of 'numpy.ndarray' objects}
    421/1    0.120    0.000   32.196   32.196 DT.py:170(_grow_tree)
      364    0.040    0.000    0.040    0.000 {built-in method marshal.loads}
      361    0.025    0.000    0.025    0.000 {built-in method builtins.compile}
  910/899    0.016    0.000    0.073    0.000 {built-in method builtins.__build_class__}
       63    0.013    0.000    0.016    0.000 {built-in method _imp.create_dynamic}
      797    0.012    0.000    0.012    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    710/1    0.012    0.000   32.582   32.582 {built-in method builtins.exec}
      951    0.011    0.000    0.011    0.000 {built-in method numpy.array}
      500    0.009    0.000    0.009    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
4839/3159    0.008    0.000    0.370    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      421    0.008    0.000    0.008    0.000 {built-in method numpy.arange}
    63/39    0.007    0.000    0.037    0.001 {built-in method _imp.exec_dynamic}
     1852    0.007    0.000    0.007    0.000 {built-in method posix.stat}
        1    0.007    0.007    0.007    0.007 indexing.py:569(_NDFrameIndexer)
     1222    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x9d12c0}
      832    0.007    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    17047    0.006    0.000    0.007    0.000 {built-in method builtins.getattr}
        1    0.005    0.005    0.005    0.005 DT.py:117(<listcomp>)
    26556    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
      364    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     7546    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
      364    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
      364    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
   187/62    0.004    0.000    0.010    0.000 sre_parse.py:470(_parse)
     4335    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      217    0.003    0.000    0.021    0.000 typing.py:922(__new__)
      461    0.003    0.000    0.037    0.000 <frozen importlib._bootstrap>:870(_find_spec)
     1265    0.003    0.000    0.003    0.000 {built-in method numpy.zeros}
     1261    0.003    0.000    0.003    0.000 {built-in method builtins.print}
   360/59    0.003    0.000    0.011    0.000 sre_compile.py:64(_compile)
     4335    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
2799/2755    0.003    0.000    0.004    0.000 typing.py:1164(__setattr__)
      269    0.002    0.000    0.015    0.000 abc.py:132(__new__)
      593    0.002    0.000    0.005    0.000 functools.py:44(update_wrapper)
     1120    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      362    0.002    0.000    0.006    0.000 typing.py:613(_remove_dups_flatten)
      612    0.002    0.000    0.003    0.000 _inspect.py:67(getargs)
      500    0.002    0.000    0.026    0.000 textwrap.py:414(dedent)
      728    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      364    0.002    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:743(get_code)
    465/1    0.002    0.000    0.368    0.368 <frozen importlib._bootstrap>:966(_find_and_load)
     1633    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
    22973    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     1120    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
2581/1531    0.002    0.000    0.201    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
     1208    0.002    0.000    0.005    0.000 enum.py:803(__and__)
    447/2    0.002    0.000    0.368    0.184 <frozen importlib._bootstrap>:651(_load_unlocked)
      840    0.002    0.000    0.008    0.000 numeric.py:90(zeros_like)
      443    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      446    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      631    0.002    0.000    0.006    0.000 fromnumeric.py:42(_wrapit)
        1    0.002    0.002    0.002    0.002 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
     2709    0.002    0.000    0.002    0.000 enum.py:517(__new__)
    465/1    0.002    0.000    0.368    0.368 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     1120    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      286    0.002    0.000    0.007    0.000 overrides.py:72(verify_matching_signatures)
      420    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.generic' objects}
     5843    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     1051    0.002    0.000    0.355    0.000 fromnumeric.py:55(_wrapfunc)
        1    0.002    0.002   32.210   32.210 DT.py:108(fit)
     9403    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      170    0.001    0.000    0.021    0.000 typing.py:1099(__getitem__)
      142    0.001    0.000    0.002    0.000 sre_compile.py:250(_optimize_charset)
     2712    0.001    0.000    0.005    0.000 enum.py:267(__call__)
     4616    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
